Technology,Count
SQL,8
Oracle,4
Snowflake,4
English,3
PostgreSQL,2
Kubernetes,2
Kafka,2
Polish,2
ETL,2
Manual Testing,1
Hive,1
BPMN,1
Enterprise Architect,1
Docker,1
Scala,1
Apache Kafka,1
product analytics tooling,1
PL/SQL,1
Tableau,1
Confluence,1
Amplitude,1
T-SQL,1
Azure SQL,1
Azure Data Factory,1
Synapse Analitics,1
Azure DevOps,1
Jira,1
AWS,1
UML,1
s3,1
Data,1
Bazy Danych,1
Linux,1
MongoDB,1
Power Platform,1
SharePoint,1
Power BI,1
Power Apps,1
Office 365,1
Power Automate,1
Dataverse,1
Microsoft Office,1
PLSQL,1
aws lambda,1
Redshift,1
Databricks,1
