Technology,Level,Source URL
English,b2,https://justjoin.it/job-offer/emagine-polska-lead-data-engineer-with-databricks-warszawa-data
Databricks,advanced,https://justjoin.it/job-offer/emagine-polska-lead-data-engineer-with-databricks-warszawa-data
Data Engineering,advanced,https://justjoin.it/job-offer/emagine-polska-lead-data-engineer-with-databricks-warszawa-data
Python,advanced,https://justjoin.it/job-offer/emagine-polska-lead-data-engineer-with-databricks-warszawa-data
SQL,advanced,https://justjoin.it/job-offer/emagine-polska-lead-data-engineer-with-databricks-warszawa-data
DevOps,advanced,https://justjoin.it/job-offer/emagine-polska-lead-data-engineer-with-databricks-warszawa-data
CI/CD,advanced,https://justjoin.it/job-offer/emagine-polska-lead-data-engineer-with-databricks-warszawa-data
AWS,advanced,https://justjoin.it/job-offer/emagine-polska-lead-data-engineer-with-databricks-warszawa-data
Azure,advanced,https://justjoin.it/job-offer/emagine-polska-lead-data-engineer-with-databricks-warszawa-data
Polish,c1,https://justjoin.it/job-offer/bunge-polska-sp-z-o-o--senior-cloud-data-engineer-warszawa-data
English,b2,https://justjoin.it/job-offer/bunge-polska-sp-z-o-o--senior-cloud-data-engineer-warszawa-data
Data,advanced,https://justjoin.it/job-offer/bunge-polska-sp-z-o-o--senior-cloud-data-engineer-warszawa-data
Google Cloud Platform,regular,https://justjoin.it/job-offer/bunge-polska-sp-z-o-o--senior-cloud-data-engineer-warszawa-data
GCP,regular,https://justjoin.it/job-offer/bunge-polska-sp-z-o-o--senior-cloud-data-engineer-warszawa-data
Google Cloud,regular,https://justjoin.it/job-offer/bunge-polska-sp-z-o-o--senior-cloud-data-engineer-warszawa-data
BigQuery,regular,https://justjoin.it/job-offer/bunge-polska-sp-z-o-o--senior-cloud-data-engineer-warszawa-data
Oracle,regular,https://justjoin.it/job-offer/bunge-polska-sp-z-o-o--senior-cloud-data-engineer-warszawa-data
Polish,b2,https://justjoin.it/job-offer/link-group--data-engineering-manager-with-ai-ml-experience--warszawa-data
English,b2,https://justjoin.it/job-offer/link-group--data-engineering-manager-with-ai-ml-experience--warszawa-data
AI,advanced,https://justjoin.it/job-offer/link-group--data-engineering-manager-with-ai-ml-experience--warszawa-data
ML,advanced,https://justjoin.it/job-offer/link-group--data-engineering-manager-with-ai-ml-experience--warszawa-data
AWS,advanced,https://justjoin.it/job-offer/link-group--data-engineering-manager-with-ai-ml-experience--warszawa-data
GCP,advanced,https://justjoin.it/job-offer/link-group--data-engineering-manager-with-ai-ml-experience--warszawa-data
Azure,advanced,https://justjoin.it/job-offer/link-group--data-engineering-manager-with-ai-ml-experience--warszawa-data
Data Engineering,advanced,https://justjoin.it/job-offer/heineken-data-engineering-lead-krakow-data
Software Engineering,advanced,https://justjoin.it/job-offer/heineken-data-engineering-lead-krakow-data
DataOps,advanced,https://justjoin.it/job-offer/heineken-data-engineering-lead-krakow-data
Databricks,advanced,https://justjoin.it/job-offer/heineken-data-engineering-lead-krakow-data
Data Pipelines,advanced,https://justjoin.it/job-offer/heineken-data-engineering-lead-krakow-data
CI/CD,advanced,https://justjoin.it/job-offer/heineken-data-engineering-lead-krakow-data
Technical leadership,advanced,https://justjoin.it/job-offer/swingdev-senior-data-engineer-warszawa-data-0e19ca74
SQL,advanced,https://justjoin.it/job-offer/swingdev-senior-data-engineer-warszawa-data-0e19ca74
Data Engineering,advanced,https://justjoin.it/job-offer/swingdev-senior-data-engineer-warszawa-data-0e19ca74
Cloud,regular,https://justjoin.it/job-offer/swingdev-senior-data-engineer-warszawa-data-0e19ca74
Python,regular,https://justjoin.it/job-offer/swingdev-senior-data-engineer-warszawa-data-0e19ca74
AI,advanced,https://justjoin.it/job-offer/ergo-technology-services-senior-product-owner-product-manager-data-engineering--warszawa-data
English,advanced,https://justjoin.it/job-offer/ergo-technology-services-senior-product-owner-product-manager-data-engineering--warszawa-data
